     sepalLength  sepalWidth  petalLength  petalWidth         species  Unnamed: 5
0            5.1         3.5          1.4         0.2     Iris-setosa         NaN
1            4.9         3.0          1.4         0.2     Iris-setosa         NaN
2            4.7         3.2          1.3         0.2     Iris-setosa         NaN
3            4.6         3.1          1.5         0.2     Iris-setosa         NaN
4            5.0         3.6          1.4         0.2     Iris-setosa         NaN
..           ...         ...          ...         ...             ...         ...
145          6.7         3.0          5.2         2.3  Iris-virginica         NaN
146          6.3         2.5          5.0         1.9  Iris-virginica         NaN
147          6.5         3.0          5.2         2.0  Iris-virginica         NaN
148          6.2         3.4          5.4         2.3  Iris-virginica         NaN
149          5.9         3.0          5.1         1.8  Iris-virginica         NaN

[150 rows x 6 columns]
